Gesture,Participant,Row,index,FrameCount,Head.pos.x,Head.pos.y,Head.pos.z,Head.rot.x,Head.rot.y,Head.rot.z,IndexDistalJoint.pos.x,IndexDistalJoint.pos.y,IndexDistalJoint.pos.z,IndexDistalJoint.rot.x,IndexDistalJoint.rot.y,IndexDistalJoint.rot.z,IndexKnuckle.pos.x,IndexKnuckle.pos.y,IndexKnuckle.pos.z,IndexKnuckle.rot.x,IndexKnuckle.rot.y,IndexKnuckle.rot.z,IndexMetacarpal.pos.x,IndexMetacarpal.pos.y,IndexMetacarpal.pos.z,IndexMetacarpal.rot.x,IndexMetacarpal.rot.y,IndexMetacarpal.rot.z,IndexMiddleJoint.pos.x,IndexMiddleJoint.pos.y,IndexMiddleJoint.pos.z,IndexMiddleJoint.rot.x,IndexMiddleJoint.rot.y,IndexMiddleJoint.rot.z,IndexTip.pos.x,IndexTip.pos.y,IndexTip.pos.z,IndexTip.rot.x,IndexTip.rot.y,IndexTip.rot.z,MiddleDistalJoint.pos.x,MiddleDistalJoint.pos.y,MiddleDistalJoint.pos.z,MiddleDistalJoint.rot.x,MiddleDistalJoint.rot.y,MiddleDistalJoint.rot.z,MiddleKnuckle.pos.x,MiddleKnuckle.pos.y,MiddleKnuckle.pos.z,MiddleKnuckle.rot.x,MiddleKnuckle.rot.y,MiddleKnuckle.rot.z,MiddleMetacarpal.pos.x,MiddleMetacarpal.pos.y,MiddleMetacarpal.pos.z,MiddleMetacarpal.rot.x,MiddleMetacarpal.rot.y,MiddleMetacarpal.rot.z,MiddleMiddleJoint.pos.x,MiddleMiddleJoint.pos.y,MiddleMiddleJoint.pos.z,MiddleMiddleJoint.rot.x,MiddleMiddleJoint.rot.y,MiddleMiddleJoint.rot.z,MiddleTip.pos.x,MiddleTip.pos.y,MiddleTip.pos.z,MiddleTip.rot.x,MiddleTip.rot.y,MiddleTip.rot.z,Palm.pos.x,Palm.pos.y,Palm.pos.z,Palm.rot.x,Palm.rot.y,Palm.rot.z,PinkyDistalJoint.pos.x,PinkyDistalJoint.pos.y,PinkyDistalJoint.pos.z,PinkyDistalJoint.rot.x,PinkyDistalJoint.rot.y,PinkyDistalJoint.rot.z,PinkyKnuckle.pos.x,PinkyKnuckle.pos.y,PinkyKnuckle.pos.z,PinkyKnuckle.rot.x,PinkyKnuckle.rot.y,PinkyKnuckle.rot.z,PinkyMetacarpal.pos.x,PinkyMetacarpal.pos.y,PinkyMetacarpal.pos.z,PinkyMetacarpal.rot.x,PinkyMetacarpal.rot.y,PinkyMetacarpal.rot.z,PinkyMiddleJoint.pos.x,PinkyMiddleJoint.pos.y,PinkyMiddleJoint.pos.z,PinkyMiddleJoint.rot.x,PinkyMiddleJoint.rot.y,PinkyMiddleJoint.rot.z,PinkyTip.pos.x,PinkyTip.pos.y,PinkyTip.pos.z,PinkyTip.rot.x,PinkyTip.rot.y,PinkyTip.rot.z,RingDistalJoint.pos.x,RingDistalJoint.pos.y,RingDistalJoint.pos.z,RingDistalJoint.rot.x,RingDistalJoint.rot.y,RingDistalJoint.rot.z,RingKnuckle.pos.x,RingKnuckle.pos.y,RingKnuckle.pos.z,RingKnuckle.rot.x,RingKnuckle.rot.y,RingKnuckle.rot.z,RingMetacarpal.pos.x,RingMetacarpal.pos.y,RingMetacarpal.pos.z,RingMetacarpal.rot.x,RingMetacarpal.rot.y,RingMetacarpal.rot.z,RingMiddleJoint.pos.x,RingMiddleJoint.pos.y,RingMiddleJoint.pos.z,RingMiddleJoint.rot.x,RingMiddleJoint.rot.y,RingMiddleJoint.rot.z,RingTip.pos.x,RingTip.pos.y,RingTip.pos.z,RingTip.rot.x,RingTip.rot.y,RingTip.rot.z,ThumbDistalJoint.pos.x,ThumbDistalJoint.pos.y,ThumbDistalJoint.pos.z,ThumbDistalJoint.rot.x,ThumbDistalJoint.rot.y,ThumbDistalJoint.rot.z,ThumbMetacarpalJoint.pos.x,ThumbMetacarpalJoint.pos.y,ThumbMetacarpalJoint.pos.z,ThumbMetacarpalJoint.rot.x,ThumbMetacarpalJoint.rot.y,ThumbMetacarpalJoint.rot.z,ThumbProximalJoint.pos.x,ThumbProximalJoint.pos.y,ThumbProximalJoint.pos.z,ThumbProximalJoint.rot.x,ThumbProximalJoint.rot.y,ThumbProximalJoint.rot.z,ThumbTip.pos.x,ThumbTip.pos.y,ThumbTip.pos.z,ThumbTip.rot.x,ThumbTip.rot.y,ThumbTip.rot.z,Timestamp,Wrist.pos.x,Wrist.pos.y,Wrist.pos.z,Wrist.rot.x,Wrist.rot.y,Wrist.rot.z,Temporality,Handedness
V,36,1,1,2,0.0,0.0,0.0,0.0,0.0,0.0,0.013415710364909149,-0.0826114338189367,0.0016428278576195092,0.06790339257195646,0.47308126029377284,0.1475109574835192,-0.01712107943810003,-0.07849189887796383,0.006053156778999687,0.01832126780216389,0.4884097174442987,0.09678994711426293,-0.04177339726311761,-0.07185341857588154,0.0020564209014982786,0.15115625801299376,0.4123800638232195,-0.002123897989607875,0.0016786562926634295,-0.08113005295531812,0.004065751998072464,-0.004341589360252842,0.48763334036629824,0.09235953274353026,0.024152961022354636,-0.08311312186412693,0.0007838066878924027,0.06790339257195646,0.47308126029377284,0.1475109574835192,0.010165666518064337,-0.06512052937975463,0.005287403555401501,-0.049404667649295395,0.3760506162950872,-0.0756717986331318,-0.01598801793569925,-0.06872712517455455,0.007741988262366385,0.061864957916833205,0.36890381322107757,-0.099193923492441,-0.04167326195611806,-0.06436363787850038,0.0033064015646359786,0.15115625801299376,0.4123800638232195,-0.002123897989607875,0.0004319299816184609,-0.0672883715582002,0.007967860691238116,-0.04457658037199212,0.36154375317855947,-0.11949221060821913,0.01903709388214527,-0.06294744798850874,0.001916061943764046,-0.049404667649295395,0.3760506162950872,-0.0756717986331318,-0.03683906046124523,-0.064695884966073,0.004412087343308446,0.15115625801299376,0.4123800638232195,-0.002123897989607875,-0.02566397982531837,-0.06526915415433614,0.0062550566232621,0.19089262286009245,-0.26584260268431253,0.21334872672949656,-0.02191260678447261,-0.053920224113327246,0.008817872192736574,0.25281743755519426,0.023192169309157767,-0.30917576389940393,-0.041763783638236594,-0.05503831031840071,0.00492585848658391,0.29465836348336427,0.31550061255446565,-0.08056407837233223,-0.01887827697734505,-0.06141543547730916,0.00872860922903416,0.209287606142818,-0.3310171135927858,-0.06611243723399816,-0.032688617678763354,-0.06664568893148222,0.004236809245837904,0.19089262286009245,-0.26584260268431253,0.21334872672949656,-0.018608495687090627,-0.06610791892749998,0.010042042338691146,-0.017817217985249264,-0.33747161746919024,0.14892862828944575,-0.018024295194909244,-0.060858210316718085,0.008520588168465187,0.10464664224458634,0.16962621690498236,-0.328379778938663,-0.04181243733662617,-0.05780422527850892,0.004497201134651635,0.15115625801299376,0.4123800638232195,-0.002123897989607875,-0.010383054874364065,-0.06324420009381819,0.008732371197710129,0.01874159248324592,-0.3242798318037199,-0.17613633841570397,-0.02645223900281001,-0.06929845032002732,0.01180897206267482,-0.017817217985249264,-0.33747161746919024,0.14892862828944575,-0.014640871970536288,-0.08690016565495463,0.011128042316692219,-0.3558277855729511,-0.13488679914673943,-0.3174546238907762,-0.042076964286728226,-0.0760107387012909,0.0012079683041470043,-0.3926481574003781,0.23509062974208014,-0.2184978437616306,-0.031756789668736546,-0.0865737484522454,0.004906579695015703,-0.5114468720926144,0.13309831638915043,-0.2941959437387947,-0.007638202906372728,-0.08088746979283655,0.014202731936091059,-0.3558277855729511,-0.13488679914673943,-0.3174546238907762,22,-0.0576900823039002,-0.060664506678245494,0.0010821592961527606,0.15115625801299376,0.4123800638232195,-0.002123897989607875,Static,Left
V,36,2,2,3,0.0,0.0,0.0,0.0,0.0,0.0,-0.002205807713681365,-0.07846103211740026,-0.030710113227825547,-0.2134481411983947,0.12064580477912722,0.20226447437598558,-0.007914181850563294,-0.07761925867656347,-0.015892904968571972,-0.20544166366205696,0.1237887159055908,0.17364691370871585,-0.01164763090324604,-0.07697868569505528,-0.009351980797873086,-0.07119107565866317,0.09704829321035356,0.1441748066995534,-0.00435744167840878,-0.0781552085084364,-0.024452383604600662,-0.22626436778533607,0.13553652969670746,0.17541784003410676,-0.000796233278699896,-0.07914675803055461,-0.03592931553671816,-0.2134481411983947,0.12064580477912722,0.20226447437598558,-0.0016250606868545793,-0.07296191867873678,-0.019274134952663616,-0.0791313196803819,0.0999493310748122,0.15260533856574499,-0.007871508460400248,-0.07650744038806355,-0.012247905465591975,-0.0852601942464634,0.10245983891269103,0.14284838449619577,-0.01196849771824523,-0.0760957960089817,-0.006486862480195838,-0.07119107565866317,0.09704829321035356,0.1441748066995534,-0.0041858811202184374,-0.07454301493097262,-0.016375915563329985,-0.09367344721669137,0.1116265691610123,0.13803310220010231,0.0001088799734904661,-0.07201519227178284,-0.02164242124377067,-0.0791313196803819,0.0999493310748122,0.15260533856574499,-0.012090155837808517,-0.07665998210677254,-0.007912071797435489,-0.07119107565866317,0.09704829321035356,0.1441748066995534,-0.000808212360954448,-0.07545024801767293,-0.008262855693779762,0.0682290832977959,-0.12282876084344288,-0.1022885823096061,-0.006278112619463971,-0.07339683065029115,-0.004922475709863552,0.10092287837952243,0.1717210561293723,-0.028332054601648428,-0.0111186344060094,-0.07467579406581819,-0.0029370900966279633,0.01646015126981021,0.11423138525518634,0.14835909215557178,-0.0005340043288544607,-0.0750109156498183,-0.00693531180434581,0.07177107067944057,-0.0070670630387277686,-0.16561700558444528,-0.0038445401053458696,-0.07611865175310036,-0.008900994871072964,0.0682290832977959,-0.12282876084344288,-0.1022885823096061,0.00045483071046454265,-0.07382191295505446,-0.010235307557701379,0.02390714866587485,-0.10883366335995798,-0.1305651306236641,-0.0071377878015997,-0.0749974235378455,-0.008567512874984633,0.015414280275638476,0.16962069161302104,0.03150766130691527,-0.011890586934191151,-0.07540699325270994,-0.004248968468426291,-0.07119107565866317,0.09704829321035356,0.1441748066995534,-0.0005032350707547109,-0.07401680477543632,-0.009776619976233709,0.009411867039393276,0.03833592667379371,-0.16650776050974309,-0.0019983788142898095,-0.07450473435581842,-0.010281549457409734,0.02390714866587485,-0.10883366335995798,-0.1305651306236641,-0.0017131958780452529,-0.07508186864316357,-0.013257035293418542,-0.11917355218516254,-0.0002579269256962714,0.0832374695317984,-0.010455326062635346,-0.07665868969789943,-0.01036543498453027,-0.12299565879384416,-0.08888337106315415,0.03186329368511957,-0.006110902748645234,-0.07635499789533585,-0.013077000142055784,-0.12851639190554012,-0.031263012895032076,0.0813814164715527,0.0003731591542268955,-0.07372999892242704,-0.011712082363446449,-0.11917355218516254,-0.0002579269256962714,0.0832374695317984,33,-0.016384631284817947,-0.07686137482274609,-0.003372708003763163,-0.07119107565866317,0.09704829321035356,0.1441748066995534,Static,Left
V,36,3,3,4,0.0,0.0,0.0,0.0,0.0,0.0,-0.016720773923918384,-0.04682715100106323,-0.02435472183481836,-0.2914917146855362,0.00928676153793601,0.127451636256231,-0.014098356522272204,-0.04723993704922743,-0.00666696608720884,-0.27183117370207166,-0.0009909655675841766,0.1063904814488698,-0.01007777108198211,-0.04861507487518999,0.0026016549706898615,-0.15167304053184352,-0.033493064320150805,0.10270214422674566,-0.01572730056331866,-0.04701713659631813,-0.017143341019654208,-0.29466141851962896,0.013868348387942443,0.11004379241545108,-0.018318322792573102,-0.047745761527700055,-0.030848205814019865,-0.2914917146855362,0.00928676153793601,0.127451636256231,-0.018583488440845904,-0.04470686966811826,-0.015874427728924573,-0.17532664405791087,-0.021478400747065855,0.14463254981304813,-0.014403731420873322,-0.04903026105449095,-0.00461676217664777,-0.17244468263571847,-0.028107694698974544,0.14270115836599323,-0.010192359762854389,-0.05017187928567244,0.004366030287805691,-0.15167304053184352,-0.033493064320150805,0.10270214422674566,-0.01701534624019084,-0.04659709212660925,-0.011374329681588453,-0.18152987731415687,-0.016672720417226273,0.14519094149945808,-0.020407587938890828,-0.04395738664611769,-0.01993023793542523,-0.17532664405791087,-0.021478400747065855,0.14463254981304813,-0.011768981516445528,-0.05094703048396391,0.0024213406772085923,-0.15167304053184352,-0.033493064320150805,0.10270214422674566,-0.0061636556468824336,-0.04759431748155424,0.000269172340124206,-0.0388191594877059,-0.024505318286168042,-0.15182976685861885,-0.011532492205635805,-0.050128878694763415,0.0015884810249338689,-0.013643069062044306,0.13324616987531177,0.06616252417807096,-0.009617739397281685,-0.051574702325281226,0.0067391267762188685,-0.11733329374909125,0.02862279133498578,0.1418152336382397,-0.007883703190008945,-0.048521179087018196,7.021912944034498e-05,-0.03549804859409959,0.09306014660058858,-0.11855556347492606,-0.0059988037959636175,-0.048122078539481944,0.001001780853261313,-0.0388191594877059,-0.024505318286168042,-0.15182976685861885,-0.007386796441264592,-0.044322355109581955,-0.0022520972770909906,-0.0605070808007633,0.009726756251649989,-0.16028466088839377,-0.013288061975418677,-0.04979468731700015,-0.0017388024306256003,-0.07744855895224667,0.08702511763121602,0.12254184736181446,-0.010218939991209843,-0.051609278279945,0.005833864219327959,-0.15167304053184352,-0.033493064320150805,0.10270214422674566,-0.010824256150454573,-0.04635588157314552,-0.00362986750604674,-0.08234050408833506,0.12831285060831518,-0.0882661481930027,-0.006489358218100061,-0.04467014647669108,-0.0010149431624079616,-0.0605070808007633,0.009726756251649989,-0.16028466088839377,-0.009661854832855213,-0.04141396331523655,-0.003477998902020911,0.026208181687172535,0.00643275487862996,0.1593109913731835,-0.008929678974327214,-0.04681835282026442,0.002347651064529076,0.02787567583479867,-0.14515284751272856,0.06025262060563189,-0.008952873008391163,-0.043227589761618196,-0.0010026510125241395,0.024347410131048106,-0.08706947301472355,0.13226924345159857,-0.010176940268517719,-0.04175936924640915,-0.0038974303346367943,0.026208181687172535,0.00643275487862996,0.1593109913731835,44,-0.009058292372745885,-0.052814818519226675,0.009255877126917498,-0.15167304053184352,-0.033493064320150805,0.10270214422674566,Static,Left
V,36,4,4,5,0.0,0.0,0.0,0.0,0.0,0.0,-0.14103634456167305,0.12025214670006366,0.049967460818796494,-0.052359543638560394,-0.5421078859506401,0.05784323034626582,-0.1074445475310187,0.11569931114678196,0.046047062410736736,-0.025254159566459763,-0.5359666171321474,0.11394061223893599,-0.06966510655260795,0.1061068311256819,0.040158872860402366,-0.012417399644099355,-0.6357952371135559,0.1995904506385547,-0.12789571666289978,0.11859187561185441,0.0480909880808299,-0.03132426368527438,-0.5330133601478323,0.11866760747997922,-0.15340353333108148,0.1209231354430091,0.05169318299065709,-0.052359543638560394,-0.5421078859506401,0.05784323034626582,-0.15769899326991735,0.09625016243760033,0.04821575788928963,-0.14066639674214526,-0.6808183720709523,0.25189801313532123,-0.10928642399166257,0.10093561609849991,0.048109199732299594,-0.1163305253418693,-0.6720238744582145,0.29978440842910076,-0.0699147722829918,0.09501938420678174,0.04137367161525441,-0.012417399644099355,-0.6357952371135559,0.1995904506385547,-0.13915166499669931,0.09829325957932732,0.047652022535780346,-0.09492279688558666,-0.6526226259157303,0.3351033117942944,-0.17551176562738155,0.09334695720496346,0.04888965305504078,-0.14066639674214526,-0.6808183720709523,0.25189801313532123,-0.07901614732602756,0.09719608051679096,0.04285849583283353,-0.012417399644099355,-0.6357952371135559,0.1995904506385547,-0.08559168958283628,0.0855257915697363,0.047452669545210525,-0.14766700843320324,0.5755260314409439,-0.4337829311258947,-0.09762193863495484,0.07479302143494543,0.04864703583068451,-0.13941182736982438,0.0012639921998362658,0.7068497747309832,-0.0698163674893814,0.08006608887175448,0.04297295702612471,-0.2069023655362322,-0.580240698442112,0.2545594786773727,-0.0989128957782359,0.07898896670724564,0.04856827723733544,-0.12739638808677253,0.7048484360457203,0.13644862876232697,-0.07284552652860042,0.0909962472421911,0.04692435294215398,-0.14766700843320324,0.5755260314409439,-0.4337829311258947,-0.09790833956069023,0.09273515818632737,0.04726650754005578,0.00529123623429228,0.6324981378264288,-0.36742064825132065,-0.10502818042259042,0.08739538732019095,0.04865853496346181,-0.03728000034054537,-0.2504422561272985,0.6863130272383409,-0.07051985245185398,0.08548507100994542,0.04246328607816383,-0.012417399644099355,-0.6357952371135559,0.1995904506385547,-0.11499827104887271,0.08663715302169091,0.05028453659786354,-0.038154334913289845,0.675867598891721,0.2773473728541017,-0.08275855495010953,0.09851299635834565,0.04455056117870629,0.00529123623429228,0.6324981378264288,-0.36742064825132065,-0.09122274086699086,0.11477480760381832,0.03825238045076304,0.2725586817057582,0.4425413263888387,0.38060954452959544,-0.06717785288715515,0.10997602343600085,0.039229327047973765,0.4005825425180543,-0.1647592227403456,0.5443374508767539,-0.07812358690717248,0.1191672635425724,0.03725136480456106,0.38317735401527414,0.10718068671427604,0.5298978700699343,-0.09770089483225479,0.10422307703271813,0.04186653002243654,0.2725586817057582,0.4425413263888387,0.38060954452959544,55,-0.0487525355586092,0.09336728522334442,0.037624447088627465,-0.012417399644099355,-0.6357952371135559,0.1995904506385547,Static,Left
V,36,5,5,6,0.0,0.0,0.0,0.0,4.336808689942019e-19,-8.673617379884035e-19,-0.021311440103681266,-0.0632345573656004,-0.025918809355116784,-0.11007282807665081,0.41600026029807813,-0.12763102130332235,-0.044393129125436234,-0.06011786585315462,-0.014205568184554415,-0.12306285896674544,0.38984758452514406,-0.17990779391586406,-0.06035179049216429,-0.05624118747085555,-0.0076098652009808955,-0.08895836092622753,0.26825154331051987,-0.24966908379665564,-0.030353914395881615,-0.06212701334152725,-0.021048219877230837,-0.11832631981884585,0.3942693642202676,-0.18122690202819897,-0.012441656434827609,-0.06423320192974503,-0.030594814352237102,-0.11007282807665081,0.41600026029807813,-0.12763102130332235,-0.032843390107372736,-0.04873018527055455,-0.02841960459007167,0.02567291360180769,0.20430489982134223,-0.2288213797872309,-0.04350997844982712,-0.053727912055654414,-0.018830645350323662,-0.15521291554858588,0.17899755722019312,-0.25201200162604065,-0.06007712158209972,-0.05147568505106416,-0.010729740948844931,-0.08895836092622753,0.26825154331051987,-0.24966908379665564,-0.037117714784036894,-0.05017819223459076,-0.02624370524506591,-0.05802213235805538,0.16909640896245465,-0.25965497744751653,-0.027400769964927064,-0.04764998164773593,-0.02915070755580486,0.02567291360180769,0.20430489982134223,-0.2288213797872309,-0.055369715031954904,-0.05316402539101767,-0.012372290295124188,-0.08895836092622753,0.26825154331051987,-0.24966908379665564,-0.060950239963945434,-0.03846622601374521,-0.014902052751554103,-0.295466612831261,-0.1816523463410536,0.2352059036320137,-0.050931183369909164,-0.04045985589401816,-0.022880319091680215,-0.14553028064912477,-0.13636454078975127,-0.30793512832718556,-0.06097120300109124,-0.044438436679864156,-0.014717306733908421,-0.04135683421063687,0.28678723275797996,-0.24129679387692432,-0.05616873411111822,-0.037341329982263805,-0.021313680006836266,-0.24489308581231956,-0.3052252692048249,0.04978224836394166,-0.06167249360297286,-0.043291702750254034,-0.00853351103587267,-0.295466612831261,-0.1816523463410536,0.2352059036320137,-0.05740698899331879,-0.04093414819167267,-0.015741849674238462,-0.27843344080174637,-0.16761907620212807,0.23081693091054228,-0.04642819175734597,-0.04700514168740917,-0.02130818722008053,-0.1744710201496365,-0.04664218346901852,-0.3074952500542483,-0.059944844432173065,-0.047393168567026855,-0.013357971299709046,-0.08895836092622753,0.26825154331051987,-0.24966908379665564,-0.050058038296100414,-0.04123572378198181,-0.02358317264113749,-0.24581237676806483,-0.3037332993887894,0.015743690170224853,-0.05961002706745467,-0.045010927383908925,-0.008878003085880076,-0.27843344080174637,-0.16761907620212807,0.23081693091054228,-0.05210411168764502,-0.04903846544756367,-0.015085658615400128,-0.1380399208435855,-0.3729822837965836,-0.033541135169740034,-0.06252487455605449,-0.056893151657710146,-0.006051523304845766,-0.08653776456212758,-0.10119663737461303,-0.3526276249829157,-0.05943567234353662,-0.05590443866564539,-0.008939760216107972,-0.20992534322095946,-0.26677263912621246,-0.22019846617371414,-0.04845049567032713,-0.04097153345958186,-0.019695781026552898,-0.1380399208435855,-0.3729822837965836,-0.033541135169740034,66,-0.06722252721256335,-0.052511190238771724,-0.005930565266780302,-0.08895836092622753,0.26825154331051987,-0.24966908379665564,Static,Left
V,36,6,6,7,0.0,0.0,0.0,0.0,0.0,0.0,-0.042921971581582306,-0.06310289086228155,-0.018302101466401287,-0.07632809597252144,0.37263523588040093,-0.2036536750638648,-0.06346327011136357,-0.06022900693466375,-0.009837580960746599,-0.07865766127315035,0.3413015638377652,-0.24847789623872393,-0.07685698633903587,-0.056825143955226795,-0.006276074474781909,-0.06046383840079198,0.21171597326843164,-0.3088565164595665,-0.050836409062281984,-0.06205397387952728,-0.014700516231798542,-0.08152185627378139,0.34307643705767554,-0.2499029991628951,-0.03492830333997283,-0.06386629832806384,-0.022040075666373112,-0.07632809597252144,0.37263523588040093,-0.2036536750638648,-0.05584499851338245,-0.05172518985381823,-0.021640672125955447,0.10010434074206369,0.13749439711641107,-0.2880873420275822,-0.06265739888401933,-0.054641214980900056,-0.016013758426716963,-0.11276367157778636,0.11367598830057767,-0.3072334568180205,-0.07638313399149023,-0.05283708832922655,-0.010546378759998283,-0.06046383840079198,0.21171597326843164,-0.3088565164595665,-0.05860162695299111,-0.05221073722768183,-0.021280106412709245,0.0030989539426067433,0.09964911938558689,-0.31174529693259984,-0.05152576149813653,-0.05152095431768232,-0.020112171707558694,0.10010434074206369,0.13749439711641107,-0.2880873420275822,-0.07189450338322692,-0.05409115610344564,-0.011600967661254659,-0.06046383840079198,0.21171597326843164,-0.3088565164595665,-0.082386396518409,-0.040935027255972894,-0.014151208121845647,-0.32871242151103125,-0.10827768469283276,0.2711118521058784,-0.070370744011846,-0.04342544078584537,-0.02328654578452984,-0.16976156889392724,-0.21392541872784895,-0.27157589263703696,-0.07774253757005475,-0.04664749243554505,-0.016017333903606275,-0.055504489047796715,0.22478473810179486,-0.3001861086086851,-0.07799673941745469,-0.04010234575893621,-0.02101619393352073,-0.2694388039708694,-0.2824001151692739,0.13059912597579035,-0.08140304446539992,-0.0452162771648915,-0.0074846754726798385,-0.32871242151103125,-0.10827768469283276,0.2711118521058784,-0.07971359783538118,-0.043158990726509264,-0.013385324950523162,-0.30771160416956644,-0.09604443943447079,0.276040912922851,-0.06561500964189078,-0.04896059295842736,-0.020206313934446513,-0.17584964311940432,-0.1325033707758302,-0.29787692670599974,-0.07629941005194509,-0.04910622077540002,-0.014204708127846754,-0.06046383840079198,0.21171597326843164,-0.3088565164595665,-0.072707109726227,-0.043889143203200025,-0.021630176145411153,-0.268817828226476,-0.29776527619616217,0.101037016859588,-0.08013543284805426,-0.04680210084984537,-0.006158353626056265,-0.30771160416956644,-0.09604443943447079,0.276040912922851,-0.07321648202360004,-0.050989559660209,-0.011075352878031634,-0.069233938742329,-0.3581250193486307,-0.08041481316177274,-0.07960014931167328,-0.05752478893054537,-0.0042747282536655246,-0.025569535791229798,-0.04517181198556,-0.35626887459294604,-0.07850048735004574,-0.05689640977673665,-0.0054728886050443995,-0.14993419654681558,-0.2346252443995343,-0.25721021233076335,-0.07079507737667304,-0.044037087982545436,-0.016321362064535883,-0.069233938742329,-0.3581250193486307,-0.08041481316177274,77,-0.08121148639386357,-0.053516896397136755,-0.007090595552246411,-0.06046383840079198,0.21171597326843164,-0.3088565164595665,Static,Left
V,36,7,7,8,0.0,0.0,0.0,0.0,0.0,0.0,-0.030998498793633394,-0.0864206131280752,-0.006115899531163502,0.05877917441150664,0.3952869721123602,-0.17821007695518065,-0.053045607426700794,-0.08317556434664164,-0.005528877232305331,0.05249729618083218,0.37850637211023236,-0.21691643546214087,-0.06824490352001664,-0.07911645201500013,-0.008543209981166462,0.06518528088533236,0.2510790079764454,-0.28844192729314494,-0.03955607326679157,-0.08525877130120821,-0.005598779002765251,0.049419552361248294,0.37379784411315725,-0.22060366475717308,-0.022475324524233113,-0.08680255824352476,-0.006842346873559929,0.05877917441150664,0.3952869721123602,-0.17821007695518065,-0.041571444465008295,-0.07767588796848333,-0.006734896295966983,0.28027219567207673,0.15927748952321807,-0.3056407133742555,-0.052015944343473966,-0.076890091716375,-0.010593219448383949,0.03560792932429117,0.1503796773044787,-0.3252108353725925,-0.06784133239345094,-0.07433466142954191,-0.012168342936519364,0.06518528088533236,0.2510790079764454,-0.28844192729314494,-0.04583565950822452,-0.07648688221457517,-0.010068643263065153,0.166952605421033,0.1316634811972579,-0.33288965130954695,-0.0360822253923585,-0.07820985702268354,-0.0014741586994160287,0.28027219567207673,0.15927748952321807,-0.3056407133742555,-0.06317926782029953,-0.07487265553160831,-0.01163010745675967,0.06518528088533236,0.2510790079764454,-0.28844192729314494,-0.07120144830223323,-0.06821089303805872,-0.01198381314681622,-0.2180631921223994,-0.1059472697416989,0.3237682914244981,-0.0597736498353004,-0.0661735384477752,-0.018603799498440973,-0.0506950612794377,-0.23399399608847746,-0.28393119315337034,-0.0689767206188003,-0.06791258599092577,-0.01677570028543278,0.0757682096097459,0.2093182624289814,-0.31791175147917666,-0.06618214569370046,-0.06663261592797523,-0.016179135882056037,-0.15231933522699892,-0.3156443090244211,0.1586038433716766,-0.07128406491996657,-0.07120774966184094,-0.007692235988084516,-0.2180631921223994,-0.1059472697416989,0.3237682914244981,-0.06772504137157513,-0.07147505226189155,-0.009302255219528767,-0.2020337971939435,-0.11531910731381201,0.31882553476448844,-0.054974345528975115,-0.07136889396295826,-0.01479432758591526,-0.0514319168349342,-0.13145241309945024,-0.3324896646316232,-0.06784910334785868,-0.0700829092785844,-0.01510639509774703,0.06518528088533236,0.2510790079764454,-0.28844192729314494,-0.060120713583924915,-0.0706471621686583,-0.014494620465705751,-0.15629528143093696,-0.33603070850647815,0.10879210457565891,-0.06935797329100821,-0.07424238183359179,-0.004781846127658678,-0.2020337971939435,-0.11531910731381201,0.31882553476448844,-0.06138621650098275,-0.08069086069181661,-0.00802247956005938,-0.13739481250868613,-0.29984872980008564,-0.1866866676283,-0.07078156542443308,-0.08128211287779938,-0.007221691594958929,-0.10654614752096914,0.06851906698567382,-0.3367711268798024,-0.06816208583326652,-0.08395943164644985,-0.0061179985372111795,-0.21729711670710392,-0.11767774092233653,-0.3048752446421787,-0.05800453335605764,-0.07450052906552512,-0.010987725575552686,-0.13739481250868613,-0.29984872980008564,-0.1866866676283,89,-0.07434261432427473,-0.07285531515688339,-0.01266714593176529,0.06518528088533236,0.2510790079764454,-0.28844192729314494,Static,Left
