Gesture,Participant,Row,Temporality,Handedness,FrameCount,Timestamp,Dist.ThumbTip.PinkyTip,Dist.ThumbTip.IndexTip,Dist.IndexTip.MiddleTip,Dist.MiddleTip.RingTip,Dist.RingTip.PinkyTip,Dist.ThumbProximalJoint.ThumbTip,Dist.IndexKnuckle.IndexTip,Dist.MiddleKnuckle.MiddleTip,Dist.RingKnuckle.RingTip,Dist.PinkyKnuckle.PinkyTip,Dist.Palm.ThumbDistalJoint,Dist.Palm.IndexMiddleJoint,Dist.Palm.MiddleMiddleJoint,Dist.Palm.RingMiddleJoint,Dist.Palm.PinkyMiddleJoint
X,26,0,Static,Right,1,20,0.07285053093149024,0.06263418827605242,0.0984278066097178,0.022743642848057556,0.014896810463988538,0.05942580443712989,0.08121778195075252,0.04010777211464132,0.04873559121422463,0.04476002422921598,0.07880805721498288,0.09414915088836436,0.08245411715008547,0.06975165931359634,0.0638785580691988
X,26,1,Static,Right,2,42,0.07281607746919624,0.06264469876214587,0.09833676501695589,0.02276118628279296,0.01492095131015437,0.05941354311939331,0.08116041565319891,0.04003705105274361,0.048687999116825545,0.044759431106751096,0.07877499863535393,0.0941595155786179,0.08249087705922396,0.06975897995957223,0.06386853251797796
X,26,2,Static,Right,3,57,0.07279190557335342,0.06271114802010881,0.09803393894973304,0.022802112489854892,0.014984078116454268,0.05939052012737377,0.08094693663135116,0.03995071675201833,0.04861819607924589,0.04477677266172723,0.07874049258164441,0.09420055733911557,0.08261323602183855,0.0698004617893034,0.06382047665130687
X,26,3,Static,Right,4,74,0.07281037466597723,0.06222529164254671,0.09767812971694327,0.022887882405325237,0.014913904284257632,0.05938439708374582,0.08068977886944541,0.03982750132760025,0.048592888502331275,0.04473029056467212,0.07867831256451811,0.09420910750028386,0.08261609996846872,0.06978141943239632,0.06379831181152065
X,26,4,Static,Right,5,86,0.07266373085659707,0.0620837952850823,0.09745508795850517,0.022867574423187185,0.014905028681622764,0.05937720277177081,0.08053234501118164,0.03981762506729902,0.048552605336892096,0.04472663297186587,0.07861979402796729,0.09421332042763382,0.08264705227653325,0.06981264255849375,0.06381296067414517
X,26,5,Static,Right,6,107,0.07258960911866096,0.061794446271489625,0.09719770967466271,0.022857936652287664,0.014910608438289856,0.05935998515835387,0.08037112408072941,0.03979951439402248,0.04851236409411521,0.04473242909791511,0.0785703701594946,0.09422554714088968,0.08267108808404557,0.0698288900885586,0.06381063153581856
X,26,6,Static,Right,7,119,0.07247089932517738,0.061118645182955435,0.09664910464665466,0.022838661300522842,0.014930659630438317,0.059319028759749676,0.08003750269717318,0.03976497125611942,0.048430262037284164,0.0447490126483255,0.07847588757064172,0.0942559556102426,0.08271917725050225,0.06985957058270546,0.0638016096191938
X,26,7,Static,Right,8,129,0.07241665077176664,0.06076222188992104,0.09636436218333011,0.022828763545141895,0.014943072575611699,0.059295786005415296,0.07986584587293878,0.03974802707053525,0.04838930395242329,0.04475952201487407,0.07842844123148174,0.09427129979479422,0.08274126529126805,0.06987417294680486,0.06379517339893355
X,26,8,Static,Right,9,143,0.07240508074714086,0.060765756524542705,0.09631920834392277,0.02285417042904863,0.014952580713709536,0.05927127719224553,0.07982088502390847,0.03975833389366314,0.04841416985759441,0.04476078735902663,0.07841129044340488,0.09427677636618677,0.08278354088223092,0.06986996207241004,0.06379234698613939
X,26,9,Static,Right,10,156,0.07230381839156233,0.061057598421490396,0.09644916504563433,0.02287498485245386,0.014928911179319238,0.0592558596764912,0.0798547085149023,0.0397720126470864,0.048433057512405696,0.04479589586111667,0.07836111522304938,0.09427923153590102,0.08283406183448944,0.06990081237010061,0.06380963320690701
X,26,10,Static,Right,11,168,0.07227089761446158,0.06122306130862786,0.09647274207774964,0.022886134339376696,0.014965723069735077,0.05924489215113822,0.07983758911064379,0.03972053185696283,0.048430743273255625,0.04478823405761824,0.07834419333939166,0.09428127846502718,0.08286749307780458,0.0699190286903357,0.06381638805980791
X,26,11,Static,Right,12,185,0.07226038528128685,0.061279184353253094,0.0964776247686476,0.02291875524543168,0.014966871182715582,0.05923946621974245,0.0798136389472375,0.0396737299103575,0.048446340811252264,0.044811616451540776,0.07831822916154331,0.09427991222948838,0.08288331186674448,0.06992092791861389,0.06381299806465765
X,26,12,Static,Right,13,200,0.07211206887893305,0.06139062131140244,0.0963190460656666,0.022978825339864607,0.014958554609319679,0.05922002477203133,0.07968551714709528,0.039593854245324515,0.048450801448479706,0.04487491899714135,0.0782681924858368,0.0942682731516813,0.08295887297932632,0.06997144627632053,0.06382510027410855
X,26,13,Static,Right,14,218,0.07201594265855321,0.06144621792266783,0.09621009427809538,0.023006418539181644,0.014952155730863703,0.059209790516434095,0.07960809085137006,0.03955594651882321,0.04844695187522123,0.04491021047601544,0.07824542303547215,0.09426137227942315,0.08300571829097081,0.07000407363146804,0.06383409278747518
X,26,14,Static,Right,15,231,0.07177412919011966,0.06155751929699581,0.09592538774485104,0.02305792050467681,0.014936004184520058,0.05918778976275418,0.07941883148221222,0.03948637425745744,0.04842953390236167,0.04498764462605252,0.07819808792419419,0.09424172108466598,0.08311555294287593,0.07008744125019825,0.06385981028784843
X,26,15,Static,Right,16,242,0.07181402176455516,0.061451052220446285,0.0958820121242771,0.023073683299378082,0.014958010730040328,0.05918823982008589,0.07943885722365349,0.03944839700165273,0.048429969657227685,0.04495728272482672,0.07820456189379225,0.0942266790723305,0.08312357011100992,0.07009145890192328,0.06386586798126209
X,26,16,Static,Right,17,264,0.07177350431043465,0.06133953694804028,0.09575400804143903,0.02310478870277761,0.014954593575219634,0.059195450458628944,0.07936576602666919,0.0393789349906774,0.04843540488114034,0.04493516221179126,0.07817379787371216,0.09422289206981507,0.08311619505848422,0.07008573396918957,0.06386352472264589
X,26,17,Static,Right,18,285,0.07160945727346352,0.06120645190664141,0.09558144019107477,0.02310888296737866,0.015004593863214006,0.059191804137059344,0.0793131093388729,0.03925637097338464,0.04841783895425329,0.04494621912908809,0.07810193500163742,0.09420702989692431,0.08310247507746073,0.07009890867909417,0.06387349830720093
X,26,18,Static,Right,19,308,0.07146351176649512,0.061474551637242594,0.09565514536604926,0.02315101788258999,0.015038917082024131,0.05920264978022518,0.07939166636996607,0.03910193444063867,0.04837975325484829,0.04498647799061399,0.07803029122718941,0.09418987266155525,0.0830925589628818,0.07009124117890904,0.06387201592246788
X,26,19,Static,Right,20,330,0.07132475411804803,0.061947312750433324,0.09585114094782599,0.023213706166831716,0.01506556928894493,0.05922242201227509,0.07953640755025343,0.038929639363857474,0.0483297479509256,0.045041120478957884,0.07795963860870583,0.09417331300320708,0.08308374519122275,0.07007148639782104,0.06386578073585258
X,26,20,Static,Right,21,344,0.07128028977213828,0.061331929449512664,0.0952577632584349,0.023214732778991824,0.015077529141076067,0.05921300803877476,0.079291324506531,0.03893533132002351,0.048324998427315115,0.04509894866845567,0.07798593796319944,0.09416226580748789,0.08321881264473792,0.07022605133424484,0.06391869786689966
X,26,21,Static,Right,22,356,0.0711994307491288,0.06117758910745017,0.09512951704912638,0.02317980493878224,0.015085491738753476,0.05919790060466676,0.07925633363965301,0.03900075073636411,0.048303612711680176,0.04505532188321369,0.07797873780717415,0.0941550890658598,0.08326082687554824,0.07028124818185864,0.06395961108387078
X,26,22,Static,Right,23,376,0.07116708364124522,0.060992651606566486,0.09497405698399945,0.023180509075514243,0.01510692692111809,0.059182537745520736,0.07919539010573769,0.03900948564131545,0.04829752888088576,0.0450408301655287,0.07797268633310007,0.09415004774295138,0.08329283506400786,0.0703173710330528,0.0639760096676872
X,26,23,Static,Right,24,398,0.07119076039065737,0.061433813702227426,0.09523651368566577,0.023207304022656215,0.015175663807557076,0.059175440725017056,0.07935015249512743,0.03894794687785228,0.04827872925005372,0.045020895615258384,0.07795233432040394,0.0941550400031778,0.0833128318087918,0.07029344171400352,0.06394872174641184
X,26,24,Static,Right,25,409,0.07104111658750875,0.06128776194314818,0.0951312521992642,0.023197920122286806,0.015155443741441593,0.0591738463934871,0.07931035398357514,0.03883249169188088,0.04822080067771582,0.04498448548110785,0.0779035018853454,0.09415222536403484,0.08324662151102594,0.07026976337657627,0.06395574654399717
X,26,25,Static,Right,26,422,0.07104303513364259,0.06130792368038581,0.09509878460316944,0.023229796770527136,0.01515243861561561,0.05918483908907745,0.07931337998723804,0.03877545896569118,0.048211875186513875,0.044980443317068367,0.07789938805921386,0.09415652345429916,0.08325596830858431,0.07027378721827927,0.06395020277528442
X,26,26,Static,Right,27,443,0.07105073415524983,0.0613330033505617,0.09506450413272034,0.023267449043674802,0.015146596020228383,0.059196893609377785,0.07931640854199093,0.038715715065073986,0.04820351462289866,0.044977989606028446,0.07789775817698483,0.09416181915192606,0.08326719568353452,0.07027752660701718,0.06394141764146304
X,26,27,Static,Right,28,457,0.07095083088308414,0.06128694269581399,0.09503704156801164,0.023242827646394466,0.015102854200448384,0.05916280674545451,0.07925563138982618,0.038797775876975193,0.04824456530014545,0.044941293862104166,0.07789331928991096,0.0941472558601684,0.08328535421669295,0.0702969824245678,0.06397933033410086
