feature,mean,std_dev
Dist.ThumbTip.PinkyTip,0.08447339294483827,0.03926077127974076
Dist.ThumbTip.IndexTip,0.07624431540806055,0.03542644868736248
Dist.IndexTip.MiddleTip,0.05126516871996087,0.03515303430417982
Dist.MiddleTip.RingTip,0.043514973561780065,0.039003198807151515
Dist.RingTip.PinkyTip,0.033181671409595714,0.028008300906963088
Dist.ThumbProximalJoint.ThumbTip,0.05994428619221217,0.0028839471358367893
Dist.IndexKnuckle.IndexTip,0.07766579882603483,0.01904987794625859
Dist.MiddleKnuckle.MiddleTip,0.07669232561570181,0.025036455138594
Dist.RingKnuckle.RingTip,0.06457372607854447,0.02163705011983356
Dist.PinkyKnuckle.PinkyTip,0.05595020690646749,0.01679953257213306
Dist.Palm.ThumbDistalJoint,0.08131517249266701,0.007795065544594231
Dist.Palm.IndexMiddleJoint,0.09013255518798335,0.006119364268167805
Dist.Palm.MiddleMiddleJoint,0.08787415650304697,0.007822788957640698
Dist.Palm.RingMiddleJoint,0.07971249232406175,0.007689337043985935
Dist.Palm.PinkyMiddleJoint,0.07270430662891948,0.006959119916686999
