Gesture,Participant,Row,Temporality,Handedness,FrameCount,Timestamp,Dist.ThumbTip.PinkyTip,Dist.ThumbTip.IndexTip,Dist.IndexTip.MiddleTip,Dist.MiddleTip.RingTip,Dist.RingTip.PinkyTip,Dist.ThumbProximalJoint.ThumbTip,Dist.IndexKnuckle.IndexTip,Dist.MiddleKnuckle.MiddleTip,Dist.RingKnuckle.RingTip,Dist.PinkyKnuckle.PinkyTip,Dist.Palm.ThumbDistalJoint,Dist.Palm.IndexMiddleJoint,Dist.Palm.MiddleMiddleJoint,Dist.Palm.RingMiddleJoint,Dist.Palm.PinkyMiddleJoint
S,6,0,Static,Right,1,11,0.0828459597144,0.05920157964108729,0.017425441400435157,0.019613557632413344,0.014714957492293337,0.0655429048944277,0.03504059829683277,0.04239499115461629,0.04513382750221839,0.04131689245332942,0.09601374973929519,0.09532065947107168,0.0920426495164062,0.08521121181511276,0.07839655906989794
S,6,1,Static,Right,2,22,0.0828611656869488,0.05916009280756741,0.01742179433927519,0.019606840234979193,0.014708747465369054,0.065535635687769,0.03509479357397606,0.04246437751810339,0.04518547787730023,0.04136887183620061,0.09602546044669612,0.09533319039033565,0.09204017825384744,0.08520350897116853,0.07836694886238717
S,6,2,Static,Right,3,33,0.0829504983770441,0.05917959636563935,0.01740149226359623,0.019600664555060404,0.014725395784154691,0.06554518439214273,0.035127889162316635,0.04250323670027956,0.04518976643002267,0.04140588308441222,0.0960161489073583,0.09531657338049881,0.09201875020342334,0.08513917764460742,0.07830082860991973
S,6,3,Static,Right,4,45,0.08305505772076731,0.05916592102722648,0.017403735978231805,0.01961467601057947,0.014703500977658325,0.06554472981102286,0.03517914090764583,0.042523582610123484,0.045251408906242976,0.04142720346583867,0.09602888199911522,0.095304560483746,0.0919999514999871,0.08509819992220748,0.07826876681026725
S,6,4,Static,Right,5,55,0.08315723258382277,0.05914712737741369,0.017406867322984926,0.019630637228577087,0.014679285745566789,0.06554327307969897,0.03523218349747863,0.04254465552804487,0.04531586957126597,0.041448649121533385,0.09604366295076422,0.0952947551862116,0.09198141709606343,0.0850587794939476,0.07823849787029395
S,6,5,Static,Right,6,66,0.08322741128979086,0.059086209457029845,0.017397839319869577,0.01963369934576766,0.01469321921840144,0.06554423601660178,0.03527704348439643,0.042575807719877755,0.04532951289171312,0.04148942094076516,0.09602955630950301,0.0953024551047874,0.09197135882980095,0.08502107451685152,0.07819110029920288
S,6,6,Static,Right,7,78,0.08325625850349029,0.059087039864931495,0.017395806017543404,0.019650361345278065,0.014694010548519439,0.06553521881400877,0.03529065505201055,0.04257722392312575,0.045376335297156754,0.04150600493904461,0.09603312175494456,0.09530371320153282,0.09194935728976046,0.08498542033196059,0.07813992181977154
S,6,7,Static,Right,8,88,0.0832804649662812,0.05909233497671245,0.017393433559823677,0.01966882917206819,0.014695590018777686,0.0655247979012526,0.03530133156128807,0.04257460718550435,0.04542699758953927,0.04152032004934452,0.09603778528266887,0.09530536176417358,0.0919276588900207,0.08495056889156177,0.07808947092278186
S,6,8,Static,Right,9,100,0.08336384047055419,0.059103557405625,0.01737094899537731,0.019666349279924857,0.014689373676232813,0.06552675419246713,0.03532221647915089,0.04262663877201663,0.04545929085456582,0.04155263149308362,0.09604751639162774,0.0952873053507128,0.09189469785031124,0.08489942766002602,0.07805282141601294
S,6,9,Static,Right,10,110,0.08345001019772258,0.059117344375403,0.01734802870645539,0.019662754028873984,0.01468244625394558,0.06552888334162259,0.03534274784167186,0.042680324249002526,0.045492961983146285,0.04158569458359461,0.09605726261975199,0.095266436655309,0.09186082715173005,0.08484791733448739,0.07801683900928062
